"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
40,19,255,1,255,1,125501,100,70
40,21,222,1,222,1,122201,65.5,70
40,23,255,1,255,3,125503,78.6,70
40,25,331,1,331,2,133102,55.2,70
40,27,255,1,255,1,125501,73,70
40,29,255,1,255,1,125501,100,70
40,31,311,1,311,1,131101,100,70
40,33,311,1,311,1,131101,100,70
40,35,251,1,251,5,125105,100,70
40,37,251,1,251,6,125106,57,70
40,39,311,1,311,1,131101,100,70
40,41,222,1,222,1,122201,92.9,70
40,43,311,1,311,1,131101,76.7,71
40,45,331,1,331,2,133102,60.2,71
40,47,332,1,332,5,133205,100,71
40,49,255,1,255,1,125501,89.9,71
40,51,311,1,311,1,131101,100,71
40,53,332,1,332,5,133205,100,71
40,55,311,1,311,1,131101,100,71
40,57,311,1,311,1,131101,84.6,71
40,59,331,1,331,2,133102,72,71
40,61,255,1,255,1,125501,72.1,71
40,63,255,1,255,1,125501,100,71
40,65,311,1,311,1,131101,85.9,71
40,67,255,1,255,1,125501,93.3,71
40,69,255,1,255,1,125501,100,71
40,71,332,1,332,5,133205,71.3,71
40,73,311,1,311,1,131101,66.3,71
40,75,311,1,311,1,131101,100,71
40,77,231,1,231,7,123107,68.8,71
40,79,231,1,231,7,123107,64.2,71
40,81,255,1,255,1,125501,99.9,71
40,83,311,1,311,1,131101,54.5,71
40,85,255,1,255,1,125501,100,71
40,87,311,1,311,1,131101,61,71
40,89,1231,2,231,1,223101,63.2,71
40,91,255,1,255,1,125501,100,71
40,93,332,1,332,5,133205,100,71
40,95,255,1,255,1,125501,100,71
40,97,251,1,251,5,125105,88.7,71
40,99,255,1,255,1,125501,100,71
40,101,251,1,251,5,125105,64.6,71
40,103,332,1,332,5,133205,69.5,71
40,105,251,1,251,5,125105,100,71
40,107,255,1,255,1,125501,100,71
40,109,311,1,311,1,131101,58.8,71
40,111,255,1,255,1,125501,87.1,71
40,113,251,1,251,6,125106,99.9,71
40,115,251,1,251,5,125105,68.4,71
40,117,251,1,251,6,125106,100,71
40,119,251,1,251,6,125106,80.2,71
40,121,255,1,255,1,125501,97.5,71
40,123,255,1,255,1,125501,100,71
40,125,255,1,255,1,125501,100,71
40,127,1231,2,231,1,223101,76,71
40,129,311,1,311,1,131101,57.8,72
40,131,251,1,251,5,125105,100,72
40,133,255,1,255,1,125501,100,72
40,135,1222,2,222,1,222201,91.3,72
40,137,311,1,311,1,131101,60.9,72
40,139,331,1,331,2,133102,100,72
40,141,311,1,311,1,131101,99.9,72
40,143,251,1,251,5,125105,63.3,72
40,145,251,1,251,5,125105,100,72
40,147,251,1,251,6,125106,65.5,72
40,149,311,1,311,1,131101,100,72
40,151,332,1,332,5,133205,100,72
40,153,332,1,332,5,133205,72.5,72
41,1,1332,2,332,7,233207,63.2,72
41,3,242,1,242,1,124201,52.9,72
41,5,1242,2,242,2,224202,51.6,72
41,7,1242,2,242,1,224201,100,72
41,9,242,1,242,1,124201,54.3,72
41,11,1242,2,242,1,224201,76.5,72
41,13,342,1,342,8,134208,65.7,72
41,15,1261,2,261,1,226101,96.6,72
41,17,1242,2,242,3,224203,65.7,72
41,19,1242,2,242,1,224201,32.4,72
41,21,342,1,342,9,134209,53,72
41,23,1332,2,332,7,233207,96.9,72
41,25,342,1,342,2,134202,87,72
41,27,1242,2,242,3,224203,100,72
41,29,1261,2,261,1,226101,54.9,72
41,31,1242,2,242,3,224203,47.9,72
41,33,1261,2,261,1,226101,100,72
41,35,1242,2,242,3,224203,68.5,72
41,37,342,1,342,2,134202,60.4,72
41,39,1242,2,242,2,224202,52.1,72
41,41,1242,2,242,1,224201,100,72
41,43,1242,2,242,2,224202,57.8,72
41,45,342,1,342,3,134203,83.8,72
41,47,242,1,242,1,124201,62.6,72
41,49,342,1,342,8,134208,52,72
41,51,242,1,242,1,124201,58.9,72
41,53,1242,2,242,1,224201,58.6,72
41,55,342,1,342,8,134208,76.8,72
41,57,1242,2,242,1,224201,100,72
41,59,342,1,342,9,134209,48.8,73
41,61,1332,2,332,7,233207,89.6,73
41,63,1332,2,332,7,233207,100,73
41,65,1242,2,242,3,224203,63.2,73
41,67,242,1,242,1,124201,58.6,73
41,69,1332,2,332,7,233207,68.4,73
41,71,1242,2,242,1,224201,56.1,73
42,1,1221,2,221,4,222104,50.1,73
42,3,221,1,221,5,122105,100,73
42,5,221,1,221,5,122105,100,73
42,7,221,1,221,5,122105,55.4,73
42,9,1221,2,221,1,222101,85.6,73
42,11,1221,2,221,1,222101,74.8,73
42,13,1221,2,221,2,222102,55.1,73
42,15,212,1,212,6,121206,100,73
42,17,221,1,221,4,122104,75.5,73
42,19,221,1,221,5,122105,69.8,73
42,21,1221,2,221,2,222102,91,73
42,23,212,1,212,7,121207,100,73
42,25,1221,2,221,1,222101,100,73
