"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",59,73,"EXCEPT",44,"50840.",50840,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",45,"50860.",50860,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",46,"50890.",50890,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",47,"50900.",50900,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",48,"50930.",50930,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",49,"50950.",50950,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",50,"50970.",50970,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",51,"50990.",50990,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",52,"51090.",51090,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",53,"51100.",51100,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",54,"51130.",51130,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",55,"51190.",51190,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",56,"51200.",51200,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",57,"60201.",60201,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",58,"60211.",60211,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",59,"60821.",60821,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",60,"60920.",60920,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",61,"61080.",61080,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",62,"61120.",61120,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",63,"61140.",61140,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",64,"70091.",70091,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",59,73,"EXCEPT",65,"70110.",70110,"38548071d5aa652bb90c7f111f86b427f798a1c9"
